respondent_id,xyz_vaccine,seasonal_vaccine
26928,0.08,0.47
26929,0.12,0.21
26930,0.53,0.82
26931,0.12,0.39
26932,0.14,0.88
26933,0.07,0.48
26934,0.34,0.6
26935,0.13,0.45
26936,0.31,0.25
26937,0.07,0.86
26938,0.04,0.08
26939,0.05,0.14
26940,0.17,0.28
26941,0.1,0.45
26942,0.44,0.74
26943,0.08,0.58
26944,0.05,0.09
26945,0.07,0.48
26946,0.15,0.65
26947,0.39,0.56
26948,0.02,0.06
26949,0.03,0.12
26950,0.06,0.56
26951,0.04,0.36
26952,0.69,0.9
26953,0.3,0.79
26954,0.03,0.1
26955,0.08,0.66
26956,0.12,0.16
26957,0.07,0.88
26958,0.24,0.58
26959,0.1,0.21
26960,0.05,0.1
26961,0.13,0.53
26962,0.12,0.75
26963,0.18,0.46
26964,0.04,0.2
26965,0.5,0.81
26966,0.03,0.18
26967,0.45,0.64
26968,0.1,0.94
26969,0.1,0.35
26970,0.58,0.69
26971,0.05,0.1
26972,0.02,0.02
26973,0.15,0.14
26974,0.21,0.39
26975,0.18,0.66
26976,0.71,0.65
26977,0.12,0.47
26978,0.1,0.7
26979,0.64,0.84
26980,0.05,0.17
26981,0.16,0.54
26982,0.71,0.87
26983,0.08,0.5
26984,0.05,0.13
26985,0.06,0.1
26986,0.01,0.28
26987,0.02,0.21
26988,0.01,0.14
26989,0.41,0.87
26990,0.06,0.24
26991,0.21,0.57
26992,0.35,0.54
26993,0.03,0.91
26994,0.28,0.4
26995,0.18,0.49
26996,0.27,0.4
26997,0.05,0.03
26998,0.05,0.07
26999,0.23,0.57
27000,0.03,0.35
27001,0.08,0.86
27002,0.11,0.31
27003,0.01,0.06
27004,0.29,0.31
27005,0.41,0.7
27006,0.73,0.79
27007,0.04,0.21
27008,0.11,0.21
27009,0.09,0.36
27010,0.01,0.12
27011,0.14,0.21
27012,0.26,0.48
27013,0.22,0.55
27014,0.08,0.31
27015,0.16,0.17
27016,0.12,0.22
27017,0.64,0.85
27018,0.07,0.29
27019,0.91,0.98
27020,0.21,0.34
27021,0.29,0.55
27022,0.02,0.23
27023,0.04,0.29
27024,0.11,0.39
27025,0.16,0.16
27026,0.07,0.41
27027,0.06,0.69
27028,0.47,0.78
27029,0.21,0.31
27030,0.3,0.45
27031,0.33,0.74
27032,0.16,0.48
27033,0.35,0.54
27034,0.11,0.47
27035,0.07,0.21
27036,0.17,0.66
27037,0.62,0.74
27038,0.04,0.06
27039,0.49,0.83
27040,0.08,0.35
27041,0.09,0.72
27042,0.06,0.54
27043,0.41,0.62
27044,0.07,0.14
27045,0.02,0.54
27046,0.06,0.12
27047,0.46,0.48
27048,0.06,0.54
27049,0.39,0.7
27050,0.07,0.55
27051,0.11,0.31
27052,0.06,0.21
27053,0.87,0.9
27054,0.05,0.03
27055,0.07,0.86
27056,0.21,0.25
27057,0.05,0.08
27058,0.89,0.91
27059,0.08,0.19
27060,0.15,0.35
27061,0.07,0.47
27062,0.07,0.34
27063,0.02,0.52
27064,0.12,0.5
27065,0.15,0.36
27066,0.09,0.42
27067,0.68,0.87
27068,0.58,0.71
27069,0.7,0.86
27070,0.03,0.07
27071,0.11,0.09
27072,0.18,0.54
27073,0.07,0.9
27074,0.1,0.29
27075,0.52,0.82
27076,0.61,0.76
27077,0.06,0.19
27078,0.21,0.74
27079,0.27,0.83
27080,0.11,0.22
27081,0.13,0.8
27082,0.21,0.34
27083,0.15,0.39
27084,0.66,0.72
27085,0.03,0.07
27086,0.02,0.09
27087,0.11,0.2
27088,0.36,0.61
27089,0.1,0.11
27090,0.33,0.71
27091,0.51,0.5
27092,0.16,0.35
27093,0.2,0.35
27094,0.03,0.15
27095,0.14,0.4
27096,0.09,0.23
27097,0.41,0.63
27098,0.56,0.79
27099,0.24,0.56
27100,0.17,0.74
27101,0.12,0.48
27102,0.19,0.75
27103,0.02,0.13
27104,0.37,0.66
27105,0.17,0.46
27106,0.55,0.82
27107,0.47,0.73
27108,0.22,0.28
27109,0.12,0.09
27110,0.03,0.31
27111,0.07,0.37
27112,0.43,0.63
27113,0.08,0.07
27114,0.03,0.14
27115,0.35,0.62
27116,0.09,0.9
27117,0.0,0.04
27118,0.06,0.5
27119,0.08,0.2
27120,0.26,0.92
27121,0.06,0.75
27122,0.02,0.39
27123,0.04,0.19
27124,0.05,0.14
27125,0.02,0.06
27126,0.17,0.22
27127,0.01,0.1
27128,0.19,0.44
27129,0.22,0.5
27130,0.05,0.26
27131,0.04,0.13
27132,0.29,0.86
27133,0.13,0.7
27134,0.93,1.0
27135,0.08,0.38
27136,0.04,0.51
27137,0.12,0.22
27138,0.21,0.52
27139,0.07,0.16
27140,0.9,0.98
27141,0.67,0.68
27142,0.03,0.25
27143,0.38,0.37
27144,0.1,0.18
27145,0.62,0.76
27146,0.21,0.82
27147,0.04,0.19
27148,0.12,0.1
27149,0.22,0.2
27150,0.42,0.79
27151,0.3,0.79
27152,0.04,0.19
27153,0.18,0.68
27154,0.56,0.79
27155,0.12,0.8
27156,0.01,0.23
27157,0.06,0.54
27158,0.04,0.38
27159,0.04,0.13
27160,0.14,0.36
27161,0.37,0.64
27162,0.11,0.75
27163,0.44,0.46
27164,0.11,0.17
27165,0.51,0.61
27166,0.2,0.32
27167,0.07,0.53
27168,0.19,0.72
27169,0.53,0.75
27170,0.61,0.88
27171,0.04,0.19
27172,0.08,0.84
27173,0.28,0.47
27174,0.06,0.15
27175,0.03,0.11
27176,0.69,0.87
27177,0.67,0.79
27178,0.02,0.31
27179,0.05,0.22
27180,0.15,0.37
27181,0.13,0.78
27182,0.42,0.8
27183,0.06,0.71
27184,0.1,0.26
27185,0.48,0.75
27186,0.23,0.79
27187,0.08,0.3
27188,0.05,0.34
27189,0.21,0.64
27190,0.34,0.68
27191,0.29,0.87
27192,0.29,0.69
27193,0.02,0.15
27194,0.24,0.47
27195,0.06,0.19
27196,0.17,0.26
27197,0.19,0.66
27198,0.62,0.88
27199,0.19,0.28
27200,0.2,0.56
27201,0.47,0.85
27202,0.09,0.26
27203,0.03,0.18
27204,0.0,0.02
27205,0.18,0.31
27206,0.3,0.4
27207,0.13,0.14
27208,0.67,0.64
27209,0.18,0.38
27210,0.08,0.3
27211,0.08,0.36
27212,0.3,0.79
27213,0.4,0.52
27214,0.04,0.05
27215,0.18,0.68
27216,0.19,0.77
27217,0.1,0.19
27218,0.57,0.73
27219,0.57,0.59
27220,0.34,0.46
27221,0.09,0.62
27222,0.17,0.54
27223,0.04,0.68
27224,0.14,0.47
27225,0.15,0.25
27226,0.04,0.19
27227,0.1,0.18
27228,0.61,0.74
27229,0.45,0.72
27230,0.27,0.84
27231,0.44,0.83
27232,0.19,0.58
27233,0.29,0.46
27234,0.02,0.07
27235,0.81,0.95
27236,0.09,0.85
27237,0.62,0.87
27238,0.55,0.77
27239,0.36,0.31
27240,0.08,0.4
27241,0.07,0.14
27242,0.24,0.58
27243,0.03,0.14
27244,0.03,0.09
27245,0.18,0.47
27246,0.78,0.88
27247,0.25,0.89
27248,0.12,0.59
27249,0.08,0.54
27250,0.03,0.11
27251,0.09,0.49
27252,0.15,0.52
27253,0.08,0.78
27254,0.86,0.97
27255,0.14,0.27
27256,0.6,0.93
27257,0.45,0.54
27258,0.29,0.77
27259,0.36,0.74
27260,0.15,0.42
27261,0.27,0.77
27262,0.1,0.36
27263,0.14,0.1
27264,0.1,0.13
27265,0.15,0.4
27266,0.12,0.3
27267,0.15,0.63
27268,0.13,0.24
27269,0.57,0.52
27270,0.02,0.07
27271,0.08,0.17
27272,0.12,0.46
27273,0.15,0.28
27274,0.11,0.41
27275,0.19,0.42
27276,0.03,0.18
27277,0.12,0.87
27278,0.12,0.3
27279,0.04,0.29
27280,0.41,0.39
27281,0.13,0.42
27282,0.22,0.9
27283,0.08,0.15
27284,0.25,0.44
27285,0.09,0.4
27286,0.22,0.57
27287,0.13,0.62
27288,0.65,0.74
27289,0.18,0.61
27290,0.1,0.09
27291,0.41,0.71
27292,0.13,0.66
27293,0.03,0.93
27294,0.04,0.03
27295,0.47,0.85
27296,0.08,0.78
27297,0.1,0.7
27298,0.07,0.22
27299,0.34,0.74
27300,0.1,0.8
27301,0.01,0.05
27302,0.2,0.63
27303,0.08,0.23
27304,0.05,0.76
27305,0.0,0.1
27306,0.3,0.56
27307,0.82,0.88
27308,0.16,0.28
27309,0.77,0.99
27310,0.05,0.27
27311,0.13,0.27
27312,0.21,0.51
27313,0.01,0.15
27314,0.05,0.09
27315,0.03,0.29
27316,0.38,0.73
27317,0.22,0.39
27318,0.09,0.3
27319,0.32,0.72
27320,0.19,0.76
27321,0.07,0.63
27322,0.39,0.45
27323,0.09,0.59
27324,0.26,0.56
27325,0.81,0.93
27326,0.17,0.56
27327,0.25,0.44
27328,0.27,0.41
27329,0.14,0.16
27330,0.15,0.63
27331,0.08,0.21
27332,0.18,0.82
27333,0.64,0.71
27334,0.04,0.06
27335,0.22,0.29
27336,0.15,0.13
27337,0.24,0.55
27338,0.15,0.46
27339,0.19,0.46
27340,0.0,0.19
27341,0.12,0.67
27342,0.31,0.64
27343,0.01,0.07
27344,0.36,0.49
27345,0.18,0.34
27346,0.4,0.8
27347,0.75,0.86
27348,0.03,0.23
27349,0.11,0.32
27350,0.04,0.84
27351,0.48,0.81
27352,0.2,0.36
27353,0.07,0.11
27354,0.28,0.6
27355,0.2,0.41
27356,0.3,0.63
27357,0.05,0.4
27358,0.46,0.72
27359,0.49,0.78
27360,0.3,0.71
27361,0.06,0.87
27362,0.26,0.53
27363,0.12,0.32
27364,0.1,0.4
27365,0.29,0.83
27366,0.38,0.73
27367,0.2,0.47
27368,0.1,0.53
27369,0.03,0.09
27370,0.1,0.74
27371,0.24,0.43
27372,0.01,0.11
27373,0.72,0.8
27374,0.04,0.18
27375,0.18,0.81
27376,0.37,0.32
27377,0.2,0.58
27378,0.01,0.14
27379,0.03,0.18
27380,0.21,0.72
27381,0.04,0.58
27382,0.19,0.31
27383,0.07,0.49
27384,0.09,0.46
27385,0.17,0.86
27386,0.12,0.82
27387,0.53,0.72
27388,0.2,0.33
27389,0.07,0.09
27390,0.03,0.1
27391,0.16,0.72
27392,0.84,0.93
27393,0.03,0.09
27394,0.07,0.42
27395,0.55,0.62
27396,0.11,0.19
27397,0.76,0.86
27398,0.07,0.67
27399,0.26,0.51
27400,0.06,0.69
27401,0.26,0.44
27402,0.24,0.57
27403,0.03,0.09
27404,0.34,0.37
27405,0.7,0.83
27406,0.03,0.16
27407,0.08,0.16
27408,0.15,0.54
27409,0.8,0.88
27410,0.03,0.17
27411,0.08,0.21
27412,0.12,0.63
27413,0.16,0.41
27414,0.54,0.64
27415,0.06,0.37
27416,0.08,0.38
27417,0.43,0.62
27418,0.32,0.21
27419,0.66,0.88
27420,0.01,0.15
27421,0.13,0.27
27422,0.35,0.67
27423,0.06,0.3
27424,0.18,0.42
27425,0.18,0.62
27426,0.14,0.35
27427,0.05,0.4
27428,0.01,0.05
27429,0.36,0.45
27430,0.08,0.56
27431,0.19,0.6
27432,0.29,0.54
27433,0.11,0.75
27434,0.1,0.24
27435,0.23,0.53
27436,0.04,0.13
27437,0.09,0.17
27438,0.04,0.12
27439,0.24,0.47
27440,0.18,0.22
27441,0.88,0.95
27442,0.4,0.78
27443,0.04,0.19
27444,0.03,0.07
27445,0.09,0.14
27446,0.17,0.22
27447,0.04,0.22
27448,0.15,0.56
27449,0.28,0.77
27450,0.22,0.73
27451,0.04,0.14
27452,0.04,0.18
27453,0.18,0.86
27454,0.08,0.37
27455,0.18,0.42
27456,0.2,0.43
27457,0.05,0.25
27458,0.05,0.34
27459,0.08,0.24
27460,0.81,0.87
27461,0.16,0.31
27462,0.09,0.41
27463,0.12,0.24
27464,0.4,0.61
27465,0.79,0.88
27466,0.01,0.09
27467,0.11,0.22
27468,0.13,0.52
27469,0.08,0.5
27470,0.71,0.92
27471,0.16,0.67
27472,0.37,0.64
27473,0.18,0.33
27474,0.21,0.36
27475,0.02,0.09
27476,0.16,0.41
27477,0.05,0.14
27478,0.13,0.74
27479,0.06,0.23
27480,0.39,0.73
27481,0.72,0.83
27482,0.37,0.33
27483,0.57,0.76
27484,0.19,0.79
27485,0.12,0.73
27486,0.14,0.29
27487,0.25,0.85
27488,0.62,0.76
27489,0.78,0.76
27490,0.06,0.4
27491,0.27,0.39
27492,0.06,0.41
27493,0.2,0.88
27494,0.26,0.6
27495,0.15,0.31
27496,0.02,0.12
27497,0.11,0.14
27498,0.18,0.7
27499,0.08,0.9
27500,0.28,0.74
27501,0.06,0.25
27502,0.11,0.53
27503,0.11,0.66
27504,0.02,0.07
27505,0.02,0.12
27506,0.22,0.77
27507,0.1,0.26
27508,0.21,0.29
27509,0.11,0.43
27510,0.45,0.52
27511,0.2,0.57
27512,0.09,0.21
27513,0.21,0.56
27514,0.22,0.55
27515,0.49,0.54
27516,0.46,0.75
27517,0.04,0.06
27518,0.7,0.8
27519,0.03,0.06
27520,0.01,0.06
27521,0.11,0.46
27522,0.05,0.18
27523,0.06,0.22
27524,0.24,0.51
27525,0.07,0.25
27526,0.23,0.49
27527,0.01,0.92
27528,0.5,0.81
27529,0.37,0.76
27530,0.04,0.13
27531,0.09,0.13
27532,0.09,0.85
27533,0.29,0.45
27534,0.07,0.16
27535,0.06,0.79
27536,0.3,0.41
27537,0.43,0.72
27538,0.28,0.42
27539,0.24,0.66
27540,0.32,0.27
27541,0.72,0.95
27542,0.03,0.09
27543,0.5,0.66
27544,0.17,0.29
27545,0.15,0.26
27546,0.38,0.51
27547,0.06,0.16
27548,0.11,0.88
27549,0.09,0.83
27550,0.1,0.37
27551,0.11,0.44
27552,0.03,0.77
27553,0.12,0.36
27554,0.27,0.42
27555,0.06,0.18
27556,0.24,0.61
27557,0.22,0.83
27558,0.06,0.12
27559,0.27,0.73
27560,0.5,0.8
27561,0.42,0.56
27562,0.36,0.79
27563,0.31,0.6
27564,0.29,0.34
27565,0.08,0.17
27566,0.18,0.41
27567,0.09,0.56
27568,0.39,0.89
27569,0.28,0.43
27570,0.38,0.67
27571,0.07,0.08
27572,0.01,0.04
27573,0.16,0.24
27574,0.23,0.63
27575,0.08,0.37
27576,0.03,0.19
27577,0.13,0.37
27578,0.39,0.61
27579,0.1,0.64
27580,0.08,0.68
27581,0.06,0.14
27582,0.03,0.08
27583,0.01,0.08
27584,0.55,0.7
27585,0.08,0.34
27586,0.43,0.73
27587,0.19,0.75
27588,0.05,0.21
27589,0.18,0.49
27590,0.17,0.56
27591,0.18,0.6
27592,0.07,0.07
27593,0.03,0.17
27594,0.1,0.62
27595,0.08,0.22
27596,0.13,0.17
27597,0.14,0.27
27598,0.19,0.31
27599,0.37,0.72
27600,0.12,0.42
27601,0.16,0.63
27602,0.64,0.73
27603,0.05,0.09
27604,0.09,0.31
27605,0.45,0.46
27606,0.24,0.33
27607,0.38,0.41
27608,0.28,0.67
27609,0.21,0.73
27610,0.38,0.8
27611,0.31,0.35
27612,0.01,0.53
27613,0.78,0.9
27614,0.08,0.47
27615,0.18,0.92
27616,0.05,0.11
27617,0.24,0.41
27618,0.21,0.47
27619,0.25,0.31
27620,0.34,0.57
27621,0.14,0.31
27622,0.67,0.9
27623,0.14,0.64
27624,0.17,0.69
27625,0.1,0.5
27626,0.01,0.2
27627,0.86,0.79
27628,0.19,0.72
27629,0.04,0.15
27630,0.24,0.76
27631,0.08,0.31
27632,0.09,0.45
27633,0.56,0.76
27634,0.12,0.26
27635,0.15,0.44
27636,0.33,0.77
27637,0.18,0.13
27638,0.22,0.31
27639,0.02,0.36
27640,0.45,0.53
27641,0.39,0.61
27642,0.35,0.6
27643,0.08,0.18
27644,0.12,0.42
27645,0.09,0.12
27646,0.15,0.48
27647,0.2,0.27
27648,0.14,0.14
27649,0.21,0.43
27650,0.15,0.64
27651,0.31,0.89
27652,0.25,0.49
27653,0.03,0.14
27654,0.17,0.69
27655,0.16,0.36
27656,0.15,0.22
27657,0.36,0.42
27658,0.09,0.45
27659,0.04,0.1
27660,0.21,0.41
27661,0.13,0.24
27662,0.13,0.27
27663,0.29,0.87
27664,0.12,0.22
27665,0.58,0.63
27666,0.13,0.89
27667,0.05,0.19
27668,0.72,0.92
27669,0.29,0.84
27670,0.46,0.9
27671,0.05,0.74
27672,0.04,0.09
27673,0.12,0.25
27674,0.11,0.62
27675,0.49,0.78
27676,0.17,0.78
27677,0.06,0.07
27678,0.08,0.23
27679,0.12,0.68
27680,0.77,0.9
27681,0.0,0.12
27682,0.05,0.82
27683,0.15,0.62
27684,0.03,0.25
27685,0.03,0.11
27686,0.22,0.38
27687,0.11,0.08
27688,0.11,0.7
27689,0.75,0.93
27690,0.78,0.95
27691,0.74,0.86
27692,0.08,0.28
27693,0.22,0.68
27694,0.19,0.55
27695,0.15,0.42
27696,0.05,0.67
27697,0.77,0.79
27698,0.25,0.44
27699,0.04,0.15
27700,0.09,0.43
27701,0.2,0.43
27702,0.27,0.35
27703,0.07,0.07
27704,0.01,0.09
27705,0.43,0.61
27706,0.15,0.74
27707,0.1,0.25
27708,0.36,0.59
27709,0.26,0.3
27710,0.14,0.27
27711,0.62,0.72
27712,0.04,0.09
27713,0.05,0.13
27714,0.2,0.27
27715,0.66,0.83
27716,0.22,0.41
27717,0.08,0.14
27718,0.16,0.29
27719,0.01,0.13
27720,0.05,0.27
27721,0.35,0.45
27722,0.3,0.42
27723,0.09,0.73
27724,0.05,0.24
27725,0.07,0.45
27726,0.19,0.28
27727,0.24,0.88
27728,0.28,0.4
27729,0.09,0.12
27730,0.8,0.86
27731,0.82,0.9
27732,0.04,0.91
27733,0.06,0.28
27734,0.11,0.32
27735,0.36,0.48
27736,0.15,0.22
27737,0.21,0.8
27738,0.58,0.95
27739,0.73,0.87
27740,0.11,0.3
27741,0.24,0.62
27742,0.15,0.51
27743,0.53,0.7
27744,0.12,0.42
27745,0.53,0.86
27746,0.26,0.76
27747,0.11,0.33
27748,0.2,0.3
27749,0.17,0.64
27750,0.24,0.28
27751,0.17,0.32
27752,0.27,0.76
27753,0.03,0.1
27754,0.21,0.74
27755,0.91,0.95
27756,0.2,0.34
27757,0.05,0.07
27758,0.07,0.72
27759,0.08,0.11
27760,0.4,0.74
27761,0.19,0.85
27762,0.13,0.22
27763,0.05,0.61
27764,0.35,0.46
27765,0.12,0.61
27766,0.59,0.83
27767,0.6,0.7
27768,0.15,0.31
27769,0.1,0.28
27770,0.04,0.65
27771,0.09,0.56
27772,0.75,0.79
27773,0.16,0.4
27774,0.26,0.27
27775,0.15,0.17
27776,0.07,0.09
27777,0.22,0.57
27778,0.16,0.25
27779,0.17,0.26
27780,0.12,0.83
27781,0.07,0.11
27782,0.86,0.94
27783,0.29,0.7
27784,0.16,0.15
27785,0.1,0.28
27786,0.13,0.15
27787,0.09,0.27
27788,0.02,0.09
27789,0.73,0.83
27790,0.67,0.85
27791,0.1,0.35
27792,0.1,0.75
27793,0.11,0.21
27794,0.12,0.29
27795,0.3,0.67
27796,0.18,0.45
27797,0.44,0.6
27798,0.18,0.22
27799,0.09,0.15
27800,0.32,0.52
27801,0.07,0.25
27802,0.73,0.83
27803,0.02,0.04
27804,0.59,0.87
27805,0.12,0.23
27806,0.24,0.79
27807,0.17,0.66
27808,0.2,0.36
27809,0.33,0.77
27810,0.08,0.27
27811,0.01,0.21
27812,0.03,0.2
27813,0.31,0.51
27814,0.11,0.36
27815,0.15,0.42
27816,0.57,0.61
27817,0.13,0.3
27818,0.23,0.7
27819,0.08,0.31
27820,0.68,0.63
27821,0.06,0.31
27822,0.11,0.34
27823,0.26,0.41
27824,0.16,0.74
27825,0.22,0.32
27826,0.21,0.54
27827,0.04,0.11
27828,0.03,0.22
27829,0.05,0.12
27830,0.09,0.33
27831,0.14,0.56
27832,0.12,0.52
27833,0.14,0.35
27834,0.65,0.79
27835,0.35,0.64
27836,0.14,0.94
27837,0.48,0.79
27838,0.03,0.66
27839,0.04,0.28
27840,0.23,0.49
27841,0.13,0.49
27842,0.47,0.75
27843,0.06,0.5
27844,0.09,0.87
27845,0.07,0.82
27846,0.18,0.28
27847,0.07,0.58
27848,0.59,0.76
27849,0.18,0.8
27850,0.15,0.21
27851,0.4,0.37
27852,0.24,0.61
27853,0.12,0.24
27854,0.17,0.59
27855,0.14,0.52
27856,0.28,0.82
27857,0.36,0.75
27858,0.74,0.95
27859,0.78,0.86
27860,0.13,0.67
27861,0.06,0.23
27862,0.1,0.29
27863,0.23,0.25
27864,0.08,0.37
27865,0.25,0.55
27866,0.71,0.72
27867,0.6,0.7
27868,0.51,0.87
27869,0.04,0.52
27870,0.3,0.23
27871,0.26,0.6
27872,0.09,0.12
27873,0.1,0.14
27874,0.35,0.77
27875,0.33,0.57
27876,0.17,0.16
27877,0.26,0.63
27878,0.13,0.66
27879,0.18,0.59
27880,0.1,0.25
27881,0.06,0.71
27882,0.05,0.46
27883,0.09,0.14
27884,0.08,0.27
27885,0.03,0.07
27886,0.1,0.21
27887,0.45,0.57
27888,0.06,0.42
27889,0.04,0.16
27890,0.12,0.44
27891,0.11,0.5
27892,0.09,0.17
27893,0.03,0.21
27894,0.09,0.28
27895,0.22,0.63
27896,0.11,0.4
27897,0.0,0.02
27898,0.02,0.11
27899,0.06,0.47
27900,0.44,0.75
27901,0.08,0.09
27902,0.07,0.26
27903,0.16,0.15
27904,0.29,0.43
27905,0.1,0.19
27906,0.06,0.72
27907,0.81,0.92
27908,0.29,0.63
27909,0.22,0.33
27910,0.24,0.52
27911,0.58,0.65
27912,0.07,0.55
27913,0.05,0.36
27914,0.13,0.55
27915,0.06,0.38
27916,0.11,0.53
27917,0.15,0.57
27918,0.12,0.91
27919,0.11,0.46
27920,0.14,0.68
27921,0.13,0.53
27922,0.56,0.71
27923,0.13,0.84
27924,0.19,0.25
27925,0.01,0.05
27926,0.3,0.36
27927,0.04,0.19
27928,0.41,0.77
27929,0.06,0.86
27930,0.21,0.26
27931,0.83,0.91
27932,0.08,0.18
27933,0.02,0.31
27934,0.49,0.69
27935,0.21,0.78
27936,0.17,0.46
27937,0.77,0.81
27938,0.07,0.24
27939,0.05,0.11
27940,0.03,0.14
27941,0.02,0.26
27942,0.02,0.3
27943,0.07,0.62
27944,0.24,0.51
27945,0.37,0.41
27946,0.09,0.18
27947,0.55,0.82
27948,0.01,0.18
27949,0.13,0.48
27950,0.08,0.89
27951,0.57,0.69
27952,0.08,0.82
27953,0.16,0.6
27954,0.06,0.74
27955,0.06,0.76
27956,0.51,0.76
27957,0.1,0.24
27958,0.66,0.8
27959,0.12,0.33
27960,0.19,0.54
27961,0.03,0.15
27962,0.7,0.91
27963,0.04,0.1
27964,0.02,0.09
27965,0.04,0.12
27966,0.52,0.77
27967,0.03,0.09
27968,0.11,0.45
27969,0.38,0.82
27970,0.21,0.39
27971,0.06,0.74
27972,0.18,0.56
27973,0.43,0.72
27974,0.28,0.52
